law_id,law_title,law_num,promulgation_date,enforcement_date,enforcement_note,review_years,review_deadline,review_status,status_note,source_law_url,translation_url,translation_note,last_checked
503AC0000000060,プラスチックに係る資源循環の促進等に関する法律,令和三年法律第六十号,2021-06-11,2022-04-01,,5,2027-04-01,pending,,https://laws.e-gov.go.jp/law/503AC0000000060,,,2026-08-04
504AC0100000052,困難な問題を抱える女性への支援に関する法律,令和四年法律第五十二号,2022-05-25,2024-04-01,段階施行,3,2027-04-01,pending,,https://laws.e-gov.go.jp/law/504AC0100000052,,,2026-08-04
504AC0000000043,経済施策を一体的に講ずることによる安全保障の確保の推進に関する法律,令和四年法律第四十三号,2022-05-18,2024-05-01,段階施行,3,2027-05-01,pending,,https://laws.e-gov.go.jp/law/504AC0000000043,https://www.japaneselawtranslation.go.jp/en/laws/view/4716,,2026-08-04
504AC0000000037,環境と調和のとれた食料システムの確立のための環境負荷低減事業活動の促進等に関する法律,令和四年法律第三十七号,2022-05-02,2022-07-01,段階施行,5,2027-07-01,pending,,https://laws.e-gov.go.jp/law/504AC0000000037,https://www.japaneselawtranslation.go.jp/en/laws/view/4982,,2026-08-04
503AC0000000084,重要施設周辺及び国境離島等における土地等の利用状況の調査及び利用の規制等に関する法律,令和三年法律第八十四号,2021-06-23,2022-09-20,段階施行,5,2027-09-20,pending,,https://laws.e-gov.go.jp/law/503AC0000000084,https://www.japaneselawtranslation.go.jp/en/laws/view/3966,,2026-08-04
505AC0000000025,特定受託事業者に係る取引の適正化等に関する法律,令和五年法律第二十五号,2023-05-12,2024-11-01,,3,2027-11-01,pending,,https://laws.e-gov.go.jp/law/505AC0000000025,https://www.japaneselawtranslation.go.jp/en/laws/view/4795,,2026-08-04
504AC0000000075,こども家庭庁設置法,令和四年法律第七十五号,2022-06-22,2023-04-01,,5,2028-04-01,pending,,https://laws.e-gov.go.jp/law/504AC0000000075,,,2026-08-04
504AC1000000077,こども基本法,令和四年法律第七十七号,2022-06-22,2023-04-01,,5,2028-04-01,pending,,https://laws.e-gov.go.jp/law/504AC1000000077,https://www.japaneselawtranslation.go.jp/en/laws/view/5160,,2026-08-04
503AC0000000025,相続等により取得した土地所有権の国庫への帰属に関する法律,令和三年法律第二十五号,2021-04-28,2023-04-27,,5,2028-04-27,pending,,https://laws.e-gov.go.jp/law/503AC0000000025,https://www.japaneselawtranslation.go.jp/en/laws/view/4224,,2026-08-04
505AC1000000057,良質かつ適切なゲノム医療を国民が安心して受けられるようにするための施策の総合的かつ計画的な推進に関する法律,令和五年法律第五十七号,2023-06-16,2023-06-16,,5,2028-06-16,pending,,https://laws.e-gov.go.jp/law/505AC1000000057,,,2026-08-04
506AC0000000058,スマートフォンにおいて利用される特定ソフトウェアに係る競争の促進に関する法律,令和六年法律第五十八号,2024-06-19,2025-12-18,段階施行,3,2028-12-18,pending,,https://laws.e-gov.go.jp/law/506AC0000000058,,,2026-08-04
505AC1000000065,共生社会の実現を推進するための認知症基本法,令和五年法律第六十五号,2023-06-16,2024-01-01,,5,2029-01-01,pending,,https://laws.e-gov.go.jp/law/505AC1000000065,,,2026-08-04
505AC0000000041,日本語教育の適正かつ確実な実施を図るための日本語教育機関の認定等に関する法律,令和五年法律第四十一号,2023-06-02,2024-04-01,段階施行,5,2029-04-01,pending,,https://laws.e-gov.go.jp/law/505AC0000000041,,,2026-08-04
505AC0000000045,孤独・孤立対策推進法,令和五年法律第四十五号,2023-06-07,2024-04-01,,5,2029-04-01,pending,,https://laws.e-gov.go.jp/law/505AC0000000045,https://www.japaneselawtranslation.go.jp/en/laws/view/4567,,2026-08-04
505AC0000000054,防衛省が調達する装備品等の開発及び生産のための基盤の強化に関する法律,令和五年法律第五十四号,2023-06-14,2024-04-01,段階施行,5,2029-04-01,pending,,https://laws.e-gov.go.jp/law/505AC0000000054,,,2026-08-04
507AC1000000096,高次脳機能障害者支援法,令和七年法律第九十六号,2025-12-24,2026-04-01,,3,2029-04-01,pending,,https://laws.e-gov.go.jp/law/507AC1000000096,,,2026-08-04
503AC1000000079,災害時等における船舶を活用した医療提供体制の整備の推進に関する法律,令和三年法律第七十九号,2021-06-18,2024-06-01,,5,2029-06-01,pending,,https://laws.e-gov.go.jp/law/503AC1000000079,,,2026-08-04
506AC0000000052,事業性融資の推進等に関する法律,令和六年法律第五十二号,2024-06-14,2024-06-14,,5,2029-06-14,pending,,https://laws.e-gov.go.jp/law/506AC0000000052,,,2026-08-04
506AC0000000063,農業の生産性の向上のためのスマート農業技術の活用の促進に関する法律,令和六年法律第六十三号,2024-06-21,2024-10-01,段階施行,5,2029-10-01,pending,,https://laws.e-gov.go.jp/law/506AC0000000063,,,2026-08-04
506AC0000000037,脱炭素成長型経済構造への円滑な移行のための低炭素水素等の供給及び利用の促進に関する法律,令和六年法律第三十七号,2024-05-24,2024-10-23,段階施行,5,2029-10-23,pending,,https://laws.e-gov.go.jp/law/506AC0000000037,,,2026-08-04
506AC0000000039,風力発電設備の設置等による電波の伝搬障害を回避し電波を用いた自衛隊等の円滑かつ安全な活動を確保するための措置に関する法律,令和六年法律第三十九号,2024-05-24,2025-03-01,,5,2030-03-01,pending,,https://laws.e-gov.go.jp/law/506AC0000000039,https://www.japaneselawtranslation.go.jp/en/laws/view/4859,,2026-08-04
506AC0000000018,地域における生物の多様性の増進のための活動の促進等に関する法律,令和六年法律第十八号,2024-04-19,2025-04-01,段階施行,5,2030-04-01,pending,,https://laws.e-gov.go.jp/law/506AC0000000018,,,2026-08-04
506AC0000000041,資源循環の促進のための再資源化事業等の高度化に関する法律,令和六年法律第四十一号,2024-05-29,2025-11-21,段階施行,5,2030-11-21,pending,,https://laws.e-gov.go.jp/law/506AC0000000041,,,2026-08-04
506AC0000000038,二酸化炭素の貯留事業に関する法律,令和六年法律第三十八号,2024-05-24,2026-05-22,段階施行,5,2031-05-22,pending,,https://laws.e-gov.go.jp/law/506AC0000000038,,,2026-08-04
507AC0000000075,盗難特定金属製物品の処分の防止等に関する法律,令和七年法律第七十五号,2025-06-20,2026-06-01,段階施行,5,2031-06-01,pending,,https://laws.e-gov.go.jp/law/507AC0000000075,,,2026-08-04
503AC0000000036,デジタル庁設置法,令和三年法律第三十六号,2021-05-19,2021-09-01,段階施行,10,2031-09-01,pending,,https://laws.e-gov.go.jp/law/503AC0000000036,https://www.japaneselawtranslation.go.jp/en/laws/view/4419,,2026-08-04
505AC0000000085,官報の発行に関する法律,令和五年法律第八十五号,2023-12-13,2025-04-01,段階施行,7,2032-04-01,pending,,https://laws.e-gov.go.jp/law/505AC0000000085,https://www.japaneselawtranslation.go.jp/en/laws/view/4983,,2026-08-04
507AC0000000049,民事裁判情報の活用の促進に関する法律,令和七年法律第四十九号,2025-05-30,2027-05-29,段階施行,5,2032-05-29,pending,,https://laws.e-gov.go.jp/law/507AC0000000049,https://www.japaneselawtranslation.go.jp/en/laws/view/5202,暫定版,2026-08-04
503AC1000000074,特定石綿被害建設業務労働者等に対する給付金等の支給に関する法律,令和三年法律第七十四号,2021-06-16,2022-01-19,段階施行,,,no_deadline,,https://laws.e-gov.go.jp/law/503AC1000000074,,,2026-08-04
503AC1000000080,中小事業主が行う事業に従事する者等の労働災害等に係る共済事業に関する法律,令和三年法律第八十号,2021-06-18,2023-06-01,,,,no_deadline,,https://laws.e-gov.go.jp/law/503AC1000000080,,,2026-08-04
503AC1000000083,宇宙資源の探査及び開発に関する事業活動の促進に関する法律,令和三年法律第八十三号,2021-06-23,2021-12-23,段階施行,,,no_deadline,,https://laws.e-gov.go.jp/law/503AC1000000083,https://www.japaneselawtranslation.go.jp/en/laws/view/4816,,2026-08-04
504AC0000000051,国際卓越研究大学の研究及び研究成果の活用のための体制の強化に関する法律,令和四年法律第五十一号,2022-05-25,2022-11-15,段階施行,,,no_deadline,,https://laws.e-gov.go.jp/law/504AC0000000051,,,2026-08-04
504AC1000000073,在外教育施設における教育の振興に関する法律,令和四年法律第七十三号,2022-06-17,2022-06-17,,,,no_deadline,,https://laws.e-gov.go.jp/law/504AC1000000073,,,2026-08-04
506AC0000000027,重要経済安保情報の保護及び活用に関する法律,令和六年法律第二十七号,2024-05-17,2025-05-16,段階施行,,,no_deadline,,https://laws.e-gov.go.jp/law/506AC0000000027,,,2026-08-04
506AC0000000061,食料供給困難事態対策法,令和六年法律第六十一号,2024-06-21,2025-04-01,,,,no_deadline,,https://laws.e-gov.go.jp/law/506AC0000000061,https://www.japaneselawtranslation.go.jp/en/laws/view/4958,,2026-08-04
506AC1000000070,旧優生保護法に基づく優生手術等を受けた者等に対する補償金等の支給等に関する法律,令和六年法律第七十号,2024-10-17,2025-01-17,段階施行,,,no_deadline,,https://laws.e-gov.go.jp/law/506AC1000000070,,,2026-08-04
507AC0000000053,人工知能関連技術の研究開発及び活用の推進に関する法律,令和七年法律第五十三号,2025-06-04,2025-09-01,段階施行,,,no_deadline,,https://laws.e-gov.go.jp/law/507AC0000000053,https://www.japaneselawtranslation.go.jp/en/laws/view/5066,,2026-08-04
507AC0100000078,手話に関する施策の推進に関する法律,令和七年法律第七十八号,2025-06-25,2025-06-25,,,,no_deadline,,https://laws.e-gov.go.jp/law/507AC0100000078,,,2026-08-04
