vintage_year,target_year,projected_births,forecast_basis,forecast_source_url,forecast_published_date,notes
1992,2001,1467000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2002,1489000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2003,1503000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2004,1508000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2005,1506000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2006,1497000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2007,1482000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2008,1463000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2009,1440000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2010,1415000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2011,1388000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2012,1360000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2013,1331000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2014,1303000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2015,1274000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2016,1247000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2017,1222000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2018,1199000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2019,1179000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2020,1162000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2021,1150000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2022,1143000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2023,1139000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2024,1140000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1992,2025,1144000,total,https://www.ipss.go.jp/syoushika/bunken/data/pdf/101827_4.pdf,1992-09-30,表2-5(中位推計)。原本はスキャンPDFのため数値は目視で書き写しており1000人単位の整数で公表されている。出生-死亡=自然増加が全35年分で成り立つことをbin/build_births.pyが検算している
1997,1996,1220000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,1997,1221000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,1998,1225000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,1999,1231000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2000,1239000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2001,1246000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2002,1251000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2003,1254000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2004,1254000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2005,1251000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2006,1245000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2007,1236000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2008,1225000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2009,1212000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2010,1198000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2011,1182000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2012,1164000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2013,1146000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2014,1128000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2015,1109000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2016,1090000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2017,1072000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2018,1054000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2019,1038000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2020,1022000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2021,1008000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2022,995000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2023,985000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2024,977000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2025,970000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2026,965000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2027,961000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2028,959000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2029,957000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2030,956000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2031,954000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2032,953000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2033,951000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2034,949000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2035,946000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2036,942000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2037,937000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2038,931000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2039,924000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2040,916000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2041,907000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2042,898000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2043,887000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2044,877000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2045,866000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2046,854000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2047,843000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2048,832000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2049,822000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
1997,2050,812000,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku1997/db_zenkoku1997/s_tables/pp1997_chu_T2_1_6.xls,1997-04-25,表2-1-6(中位推計)。1000人単位の整数で公表されており1000人未満は丸められている
2002,2001,1194051,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2002,1182816,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2003,1169511,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2004,1154213,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2005,1136984,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2006,1119141,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2007,1101806,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2008,1085263,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2009,1069494,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2010,1054862,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2011,1040727,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2012,1026805,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2013,1012799,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2014,998908,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2015,984819,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2016,970576,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2017,955856,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2018,941249,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2019,927530,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2020,914127,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2021,901624,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2022,890585,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2023,880379,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
2002,2024,871129,total,https://www.ipss.go.jp/pp-zenkoku/j/zenkoku2002/db_zenkoku2002/s_tables/pp2002_chu_T1_1_7.xls,2002-01,表1-1-7(中位推計)
