fiscal_year,first_real,first_nominal,release_basis,first_real_source_url,first_nominal_source_url,notes
2012,0.7,-0.2,2005base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h24/tables/24ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h24/tables/24ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成24年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2013-12-25付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h24/sankou/pdf/point20131225.pdf
2013,2.1,1.8,2005base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h25/tables/25ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h25/tables/25ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成25年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2014-12-25付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h25/sankou/pdf/point20141225.pdf
2014,-1.0,1.5,2005base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h26/tables/26ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h26/tables/26ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成26年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2015-12-25付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h26/sankou/pdf/point20151225.pdf
2015,1.3,2.8,2011base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h27/tables/27ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h27/tables/27ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成27年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2016-12-22付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h27/sankou/pdf/point20161222.pdf
2016,1.2,1.0,2011base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h28/tables/28ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h28/tables/28ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成28年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2017-12-22付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h28/sankou/pdf/point_flow_20171222.pdf
2017,1.9,2.0,2011base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h29/tables/29ffm1rn_jp.xls,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h29/tables/29ffm1n_jp.xls,[出典]内閣府「国民経済計算」平成29年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2019-04-05付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h29/sankou/pdf/point_flow_jp_20190405.pdf ただしこの「ポイント」はサーバー上のものが2019-04-05付の差し替え版で、原公表(平成30年12月10日・同年12月25日)そのものではない。本文がその2つの日付に言及していることから判断した。この年度だけ裏取りの性格が他の年度と異なる。
2018,0.3,0.1,2011base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h30/tables/30ffm1rn_jp.xlsx,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h30/tables/30ffm1n_jp.xlsx,[出典]内閣府「国民経済計算」平成30年度確報の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2019-12-26付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/h30/sankou/pdf/point_flow_jp_20191226.pdf
2019,-0.3,0.5,2015base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2019/tables/2019ffm1rn_jp.xlsx,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2019/tables/2019ffm1n_jp.xlsx,[出典]内閣府「国民経済計算」2019年度年次推計の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2020-12-24付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2019/sankou/pdf/point_flow20201224.pdf
2020,-4.5,-3.9,2015base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2020/tables/2020ffm1rn_jp.xlsx,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2020/tables/2020ffm1n_jp.xlsx,[出典]内閣府「国民経済計算」2020年度年次推計の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2021-12-24付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2020/sankou/pdf/point_flow20211224.pdf
2021,2.5,2.4,2015base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2021/tables/2021ffm1rn_jp.xlsx,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2021/tables/2021ffm1n_jp.xlsx,[出典]内閣府「国民経済計算」2021年度年次推計の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2022-12-23付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2021/sankou/pdf/point_flow20221223.pdf
2022,1.5,2.3,2015base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2022/tables/2022ffm1rn_jp.xlsx,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2022/tables/2022ffm1n_jp.xlsx,[出典]内閣府「国民経済計算」2022年度年次推計の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2023-12-25付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2022/sankou/pdf/point_flow20231225.pdf
2023,0.7,4.9,2015base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2023/tables/2023ffm1rn_jp.xlsx,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2023/tables/2023ffm1n_jp.xlsx,[出典]内閣府「国民経済計算」2023年度年次推計の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2024-12-23付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2023/sankou/pdf/point_flow20241223.pdf
2024,0.5,3.7,2020base,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1rn_jp.xlsx,https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/tables/2024ffm1n_jp.xlsx,[出典]内閣府「国民経済計算」2024年度年次推計の主要系列表1「国内総生産(支出側)」増加率シートより。この年版が収録する最新の年度にあたるため、この年度の成長率として最初に公表された値になる。 [裏取り]同時に公表された「ポイント」(2025-12-23付)の本文が同じ数値を見出しに掲げていることを確認した: https://www.esri.cao.go.jp/jp/sna/data/data_list/kakuhou/files/2024/sankou/pdf/point_flow20251223.pdf
