fiscal_year,forecast_tn,actual_tn,forecast_source_url,actual_source_url,notes
1993,61.303,54.1262,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 55.68兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1994,53.665,51.03,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 50.816兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1995,53.731,51.9308,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 50.681兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1996,51.345,52.0601,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 51.736兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1997,57.802,53.9415,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 56.226兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1998,58.522,49.4319,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 50.165兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
1999,47.119,47.2345,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 45.678兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2000,48.659,50.7125,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 49.895兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2001,50.727,47.9481,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 49.625兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2002,46.816,43.8332,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 44.276兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2003,41.786,43.2824,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]この年度は補正予算なし(補正後予算額=当初予算額=41.786兆円)。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2004,41.747,45.589,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 44.041兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2005,44.007,49.0654,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 47.042兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2006,45.878,49.0691,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 50.468兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2007,53.467,51.0182,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 52.551兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2008,53.554,44.2673,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 46.429兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2009,46.103,38.7331,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 36.861兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2010,37.396,41.4868,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 39.643兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2011,40.927,42.8326,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 42.03兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2012,42.346,43.9314,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 42.607兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2013,43.096,46.9529,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 45.354兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2014,50.001,53.9707,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 51.726兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2015,54.525,56.2854,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 56.424兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2016,57.604,55.4686,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 55.86兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2017,57.712,58.7875,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]この年度は補正予算なし(補正後予算額=当初予算額=57.712兆円)。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2018,59.079,60.3564,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 59.928兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2019,62.495,58.4415,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 60.18兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2020,63.513,60.8216,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 55.125兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2021,57.448,67.0379,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 63.88兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2022,65.235,71.1374,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 68.359兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2023,69.44,72.0761,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 69.611兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2024,69.608,75.2321,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,[出典]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)より当初予算額・決算額。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 73.435兆円。 決算額はzeisyu.xls(昭和54年度以降の税収の推移)の値とも一致することを確認済み。
2025,77.819,84.2226,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,https://www.mof.go.jp/tax_policy/reference/fy2025_budget_and_settlement.pdf,[出典]当初予算額は財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)。決算額は財務省「令和7年度一般会計税収の予算額と決算額(概数)」(842226億円、確定値ではなく概数)。[参考]補正後予算額(2次以降の補正を含む年度末時点の見積もり): 80.698兆円。
2026,83.735,,https://www.mof.go.jp/policy/budget/fiscal_condition/basic_data/202604/sy202604c.pdf,,[見通しのみ]財務省「一般会計税収の予算額と決算額の推移」(sy202604c.pdf、令和8年4月時点版)記載の令和8年度当初予算額。決算額は令和8年度終了後(2027年7月頃公表見込み)に追記予定。補正後予算額もまだ確定していない。
