fiscal_year,forecast_cpi,forecast_cpi_low,forecast_cpi_high,actual_cpi,forecast_source_url,forecast_issue,actual_source_url,notes
2011,0.7,0.5,0.8,-0.1,https://www.boj.or.jp/mopo/outlook/gor1104a.pdf,2011-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p16)。 / [実績]東日本大震災年度。
2012,0.3,0.1,0.4,-0.3,https://www.boj.or.jp/mopo/outlook/gor1204a.pdf,2012-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p16)。
2013,0.7,0.4,0.8,0.9,https://www.boj.or.jp/mopo/outlook/gor1304a.pdf,2013-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p7)。2013年度は消費税率引き上げの対象外のため除くケース列は該当なし(表内斜線)。
2014,3.3,3.0,3.5,2.9,https://www.boj.or.jp/mopo/outlook/gor1404a.pdf,2014-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p10)。2014年4月の消費税率8%引き上げの影響を含む。 / [実績]消費税率8%引き上げ年度。
2015,0.8,0.2,1.2,0.2,https://www.boj.or.jp/mopo/outlook/gor1504a.pdf,2015-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p9)。2015年10月予定だった消費税率引き上げが延期され、2015年度中に税率変更がないため「消費者物価指数(除く生鮮食品)」列と「消費税率引き上げの影響を除くケース」列が結合表示(画像で結合セルを確認)。値はcpi_low/high/medianに記録し、cpi_extaxは空欄。
2016,0.5,0.0,0.8,-0.1,https://www.boj.or.jp/mopo/outlook/gor1604a.pdf,2016-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,第3列はCPIと同一セルとして結合表示(税制影響なし)
2017,1.4,0.6,1.6,0.7,https://www.boj.or.jp/mopo/outlook/gor1704a.pdf,2017-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,第3列はCPIと同一セルとして結合表示(税制影響なし)
2018,1.3,1.2,1.3,0.7,https://www.boj.or.jp/mopo/outlook/gor1804a.pdf,2018-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,第3列はCPIと同一セルとして結合表示(税制影響なし)
2019,1.1,0.9,1.2,0.5,https://www.boj.or.jp/mopo/outlook/gor1904a.pdf,2019-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,[実績]消費税率10%引き上げ・新型コロナ発生初期年度。
2020,,-0.7,-0.3,-0.2,https://www.boj.or.jp/mopo/outlook/gor2004a.pdf,2020-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,中央値は号全体で非掲載(注1)。 / [実績]新型コロナ影響の年度。
2021,0.1,0.0,0.2,0.1,https://www.boj.or.jp/mopo/outlook/gor2104a.pdf,2021-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,
2022,1.9,1.8,2.0,3.2,https://www.boj.or.jp/mopo/outlook/gor2204a.pdf,2022-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,コアコア(除く生鮮食品・エネルギー): 0.8〜1.0 <0.9>
2023,1.8,1.7,2.0,3.0,https://www.boj.or.jp/mopo/outlook/gor2304a.pdf,2023-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,コアコア(除く生鮮食品・エネルギー): 2.5〜2.7 <2.5> / [実績]円安・輸入物価高で名実逆転が大きい年度。
2024,2.8,2.6,3.0,3.0,https://www.boj.or.jp/mopo/outlook/gor2404a.pdf,2024-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,コアコア(除く生鮮食品・エネルギー): 1.7〜2.1 <1.9> / [実績]本年次推計に収録された最新（現時点で最終）確定年度。
2025,2.2,2.0,2.3,2.6,https://www.boj.or.jp/mopo/outlook/gor2504a.pdf,2025-04,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032103955&fileKind=1,コアコア(除く生鮮食品・エネルギー): 2.2〜2.4 <2.3>
2026,2.8,2.8,3.0,,https://www.boj.or.jp/mopo/outlook/gor2604a.pdf,2026-04,,コアコア(除く生鮮食品・エネルギー): 2.5〜2.7 <2.6>
