issue,issue_kind,restated_from,target_fiscal_year,real_low,real_high,real_median,cpi_low,cpi_high,cpi_median,cpi_extax_low,cpi_extax_high,cpi_extax_median,source_url,notes
2006-04,restated,2005-10,2005,2.2,2.5,2.2,0.0,0.1,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor0604.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「▽2005年度の政策委員の大勢見通しと実績見込み」表の「10月時点の見通し」行。2005年10月号の主見通しと一致(相互検算済み)。同表内の「実績」または「実績見込み」行は見通しではないため非収録。(実質GDP+3.2%、CPI+0.1%は非収録)。
2006-04,restated,2005-10,2006,1.6,2.2,1.8,0.4,0.6,0.5,,,,https://www.boj.or.jp/mopo/outlook/gor0604.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「10月時点の見通し」行。2005年10月号の主見通しと一致(相互検算済み)。
2006-10,main,,2006,2.3,2.5,2.4,0.2,0.3,0.3,,,,https://www.boj.or.jp/mopo/outlook/gor0610.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2006-10,main,,2007,1.9,2.4,2.1,0.4,0.5,0.5,,,,https://www.boj.or.jp/mopo/outlook/gor0610.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。
2006-10,restated,2006-04,2006,2.1,3.0,2.4,0.6,0.6,0.6,,,,https://www.boj.or.jp/mopo/outlook/gor0610.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「４月時点の見通し」行。2006年4月号の主見通しと一致(相互検算済み)。
2006-10,restated,2006-04,2007,1.8,2.4,2.0,0.7,0.9,0.8,,,,https://www.boj.or.jp/mopo/outlook/gor0610.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「４月時点の見通し」行。2006年4月号の主見通しと一致(相互検算済み)。
2007-04,main,,2007,2.0,2.1,2.1,0.0,0.2,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor0704.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2007-04,main,,2008,2.0,2.3,2.1,0.4,0.6,0.5,,,,https://www.boj.or.jp/mopo/outlook/gor0704.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。新規追加年度。
2007-04,restated,2006-10,2006,2.3,2.5,2.4,0.2,0.3,0.3,,,,https://www.boj.or.jp/mopo/outlook/gor0704.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「▽2006年度の政策委員の大勢見通しと実績」表の「10月時点の見通し」行。2006年10月号の主見通しと一致(相互検算済み)。同表内の「実績」または「実績見込み」行は見通しではないため非収録。(実質GDP+2.1%、CPI+0.1%は非収録)。
2007-04,restated,2006-10,2007,1.9,2.4,2.1,0.4,0.5,0.5,,,,https://www.boj.or.jp/mopo/outlook/gor0704.htm,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。「10月時点の見通し」行。2006年10月号の主見通しと一致(相互検算済み)。
2007-10,main,,2007,1.7,1.8,1.8,0.0,0.1,0.0,,,,https://www.boj.or.jp/mopo/outlook/gor0710.htm,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。htm版は表がGIF画像のため全文PDFの実テキスト表を使用。画像で再確認済み。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2007-10,main,,2008,1.9,2.3,2.1,0.2,0.4,0.4,,,,https://www.boj.or.jp/mopo/outlook/gor0710.htm,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。
2007-10,restated,2007-04,2007,2.0,2.1,2.1,0.0,0.2,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor0710.htm,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。「４月時点の見通し」行。2007年4月号の主見通しと一致(相互検算済み)。
2007-10,restated,2007-04,2008,2.0,2.3,2.1,0.4,0.6,0.5,,,,https://www.boj.or.jp/mopo/outlook/gor0710.htm,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。「４月時点の見通し」行。2007年4月号の主見通しと一致(相互検算済み)。
2008-04,main,,2008,1.4,1.6,1.5,0.9,1.1,1.1,,,,https://www.boj.or.jp/mopo/outlook/gor0804a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2008-04,main,,2009,1.6,1.8,1.7,0.8,1.0,1.0,,,,https://www.boj.or.jp/mopo/outlook/gor0804a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。新規追加年度。
2008-04,restated,2007-10,2007,1.7,1.8,1.8,0.0,0.1,0.0,,,,https://www.boj.or.jp/mopo/outlook/gor0804a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。「▽2007年度の政策委員の大勢見通しと実績」表の「10月時点の見通し」行。2007年10月号の主見通しと一致(相互検算済み)。同表内の「実績」または「実績見込み」行は見通しではないため非収録。(実質GDP+1.6%、CPI+0.3%は非収録)。
2008-04,restated,2007-10,2008,1.9,2.3,2.1,0.2,0.4,0.4,,,,https://www.boj.or.jp/mopo/outlook/gor0804a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。2007年10月号の主見通しと一致(相互検算済み)。
2008-10,main,,2008,0.1,0.2,0.1,1.5,1.6,1.6,,,,https://www.boj.or.jp/mopo/outlook/gor0810a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2008-10,main,,2009,0.3,0.7,0.6,-0.2,0.2,0.0,,,,https://www.boj.or.jp/mopo/outlook/gor0810a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。
2008-10,main,,2010,1.5,1.9,1.7,0.1,0.5,0.3,,,,https://www.boj.or.jp/mopo/outlook/gor0810a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。新規追加年度。
2008-10,restated,2008-07,2008,1.2,1.4,1.2,1.7,1.9,1.8,,,,https://www.boj.or.jp/mopo/outlook/gor0810a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2008-10,restated,2008-07,2009,1.4,1.6,1.5,1.0,1.2,1.1,,,,https://www.boj.or.jp/mopo/outlook/gor0810a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p10)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2009-04,main,,2008,-3.2,-3.1,-3.2,1.2,1.2,,,,,https://www.boj.or.jp/mopo/outlook/gor0904a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p11)。CPIは単一値+1.2%(3月の前年同期比が2月と同じと仮定した計算値。中央値表示なし)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2009-04,main,,2009,-3.7,-3.0,-3.1,-1.6,-1.4,-1.5,,,,https://www.boj.or.jp/mopo/outlook/gor0904a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p11)。
2009-04,main,,2010,0.8,1.5,1.2,-1.1,-0.8,-1.0,,,,https://www.boj.or.jp/mopo/outlook/gor0904a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p11)。新規追加年度。
2009-04,restated,2009-01,2008,-2.0,-1.7,-1.8,1.1,1.2,1.2,,,,https://www.boj.or.jp/mopo/outlook/gor0904a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p11)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2009-04,restated,2009-01,2009,-2.5,-1.9,-2.0,-1.2,-0.9,-1.1,,,,https://www.boj.or.jp/mopo/outlook/gor0904a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p11)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2009-04,restated,2009-01,2010,1.3,1.8,1.5,-0.6,0.0,-0.4,,,,https://www.boj.or.jp/mopo/outlook/gor0904a.pdf,全文PDFのpdftotext -layout抽出後、pdftoppm -r 200 -pngで該当ページを画像化し目視で照合。抽出と画像は一致。PDF該当ページ(p11)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2009-10,main,,2009,-3.3,-3.2,-3.2,-1.5,-1.5,-1.5,,,,https://www.boj.or.jp/mopo/outlook/gor0910a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2009-10,main,,2010,0.8,1.3,1.2,-0.9,-0.7,-0.8,,,,https://www.boj.or.jp/mopo/outlook/gor0910a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。
2009-10,main,,2011,1.6,2.4,2.1,-0.7,-0.4,-0.4,,,,https://www.boj.or.jp/mopo/outlook/gor0910a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。新規追加年度。
2009-10,restated,2009-07,2009,-3.7,-3.0,-3.4,-1.5,-1.2,-1.3,,,,https://www.boj.or.jp/mopo/outlook/gor0910a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2009-10,restated,2009-07,2010,0.6,1.1,1.0,-1.2,-0.7,-1.0,,,,https://www.boj.or.jp/mopo/outlook/gor0910a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。「７月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
2010-04,main,,2009,-2.2,-2.1,-2.2,,,,,,,https://www.boj.or.jp/mopo/outlook/gor1004a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。注3により2009年度の国内企業物価指数・消費者物価指数は実績値のため非収録(実質GDPのみ政策委員見通し)。「国内卸売物価指数」列(2002年度以前)/「国内企業物価指数」列(2003年度以降)は本スキーマ対象外のため除外。
2010-04,main,,2010,1.6,2.0,1.8,-0.5,-0.2,-0.5,,,,https://www.boj.or.jp/mopo/outlook/gor1004a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。注4:高校授業料無償化の影響(CPI前年比を約-0.5%pt押し下げ)を除いたベース。
2010-04,main,,2011,2.0,2.2,2.0,-0.1,0.2,0.1,,,,https://www.boj.or.jp/mopo/outlook/gor1004a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。新規追加年度。
2010-04,restated,2010-01,2009,-2.5,-2.5,-2.5,-1.5,-1.5,-1.5,,,,https://www.boj.or.jp/mopo/outlook/gor1004a.pdf,背景説明を含む全文PDF(data/gorXXXX.pdf)のpdftotext -layout抽出を、同一号のhtm版(基本的見解)の実HTML表と突き合わせて確認。両者一致。PDF該当ページ(p11)。「１月時点の見通し」行。restated_fromは正式な「経済・物価情勢の展望」号ではなく中間評価(バックナンバー一覧に独立した号として掲載されていない)からの再掲。中間評価そのものは収集対象外。
